worker,ep,total_ep,rank,score,surv,eps,step,buf,reason,elapsed_s
0,95,500,3,454.0,390,0.05,121717,10000,max_ticks,76.5
0,96,500,2,324.6,296,0.05,122015,10000,last_standing,76.8
0,97,500,3,270.4,254,0.05,122271,10000,max_ticks,77.1
0,98,500,2,240.0,250,0.05,122523,10000,last_standing,77.4
0,99,500,3,356.5,115,0.05,122640,10000,max_ticks,79.3
0,100,500,4,305.9,309,0.05,122951,10000,max_ticks,79.7
0,101,500,3,230.1,251,0.05,123204,10000,max_ticks,80.0
0,102,500,2,740.0,400,0.05,123605,10000,max_ticks,80.3
0,103,500,1,625.8,308,0.05,123914,10000,last_standing,80.7
0,104,500,1,630.0,350,0.05,124265,10000,last_standing,82.7
0,105,500,1,643.0,380,0.05,124646,10000,last_standing,83.1
0,106,500,2,800.0,400,0.05,125047,10000,max_ticks,83.5
0,107,500,2,635.0,400,0.05,125448,10000,max_ticks,83.9
0,108,500,4,317.4,324,0.05,125774,10000,max_ticks,84.3
0,109,500,3,164.3,193,0.05,125969,10000,last_standing,86.3
0,110,500,1,638.4,284,0.05,126254,10000,last_standing,86.7
0,111,500,2,511.2,362,0.05,126618,10000,last_standing,87.0
0,112,500,2,730.0,400,0.05,127019,10000,max_ticks,87.4
0,113,500,1,815.0,400,0.05,127420,10000,max_ticks,87.9
0,114,500,1,815.7,257,0.05,127678,10000,last_standing,90.0
0,115,500,3,134.1,191,0.05,127871,10000,last_standing,90.2
0,116,500,2,264.4,244,0.05,128117,10000,last_standing,90.5
0,117,500,4,152.7,27,0.05,128146,10000,last_standing,90.6
0,118,500,3,580.0,400,0.05,128547,10000,max_ticks,91.0
0,119,500,2,469.5,395,0.05,128944,10000,last_standing,93.2
0,120,500,3,252.4,274,0.05,129220,10000,max_ticks,93.5
0,121,500,2,830.0,400,0.05,129621,10000,max_ticks,93.9
0,122,500,3,199.1,241,0.05,129864,10000,last_standing,94.2
0,123,500,3,332.7,327,0.05,130193,10000,max_ticks,94.5
0,124,500,3,141.9,19,0.05,130214,10000,max_ticks,95.5
0,125,500,2,384.2,292,0.05,130507,10000,last_standing,95.9
0,126,500,2,296.5,265,0.05,130774,10000,last_standing,96.2
0,127,500,2,213.6,236,0.05,131012,10000,last_standing,96.5
0,128,500,3,685.0,400,0.05,131413,10000,max_ticks,96.9
0,129,500,2,261.6,266,0.05,131681,10000,last_standing,98.9
0,130,500,4,80.7,157,0.05,131840,10000,last_standing,99.1
0,131,500,2,289.5,195,0.05,132037,10000,last_standing,99.3
0,132,500,4,143.6,36,0.05,132075,10000,max_ticks,99.5
0,133,500,2,478.3,383,0.05,132460,10000,last_standing,99.8
0,134,500,3,208.3,233,0.05,132695,10000,last_standing,101.8
0,135,500,3,393.0,380,0.05,133077,10000,max_ticks,102.2
0,136,500,3,367.8,328,0.05,133407,10000,last_standing,102.6
0,137,500,1,1120.0,400,0.05,133808,10000,max_ticks,103.0
0,138,500,2,730.0,400,0.05,134209,10000,max_ticks,103.4
0,139,500,1,347.4,174,0.05,134384,10000,last_standing,105.4
0,140,500,4,117.7,27,0.05,134413,10000,last_standing,105.5
0,141,500,2,380.4,354,0.05,134769,10000,last_standing,105.9
0,142,500,4,605.0,400,0.05,135170,10000,max_ticks,106.3
0,143,500,3,303.6,286,0.05,135458,10000,last_standing,106.6
0,144,500,1,573.2,332,0.05,135791,10000,last_standing,108.7
0,145,500,3,279.6,246,0.05,136039,10000,last_standing,108.9
0,146,500,4,417.4,274,0.05,136315,10000,max_ticks,109.3
0,147,500,4,240.6,256,0.05,136573,10000,max_ticks,109.6
0,148,500,1,997.9,379,0.05,136953,10000,last_standing,109.9
0,149,500,2,670.0,400,0.05,137354,10000,max_ticks,111.2
0,150,500,1,897.7,377,0.05,137732,10000,last_standing,111.6
0,151,500,2,380.2,352,0.05,138086,10000,last_standing,111.9
0,152,500,2,298.2,282,0.05,138370,10000,last_standing,112.2
0,153,500,2,419.7,347,0.05,138719,10000,last_standing,112.6
0,154,500,2,553.4,134,0.05,138855,10000,last_standing,114.5
0,155,500,2,620.0,400,0.05,139256,10000,max_ticks,114.9
0,156,500,1,567.6,376,0.05,139633,10000,last_standing,115.3
0,157,500,3,238.7,237,0.05,139872,10000,max_ticks,115.6
0,158,500,2,468.0,330,0.05,140203,10000,last_standing,115.9
0,159,500,2,610.0,400,0.05,140604,10000,max_ticks,118.1
0,160,500,4,118.5,185,0.05,140791,10000,last_standing,118.4
0,161,500,3,165.6,206,0.05,140999,10000,last_standing,118.6
0,162,500,2,432.2,372,0.05,141373,10000,last_standing,119.0
0,163,500,5,120.5,205,0.05,141580,10000,max_ticks,119.3
0,164,500,1,759.9,299,0.05,141880,10000,last_standing,121.4
0,165,500,3,561.3,363,0.05,142245,10000,max_ticks,121.8
0,166,500,3,353.1,331,0.05,142578,10000,max_ticks,122.1
0,167,500,2,344.8,298,0.05,142878,10000,last_standing,122.5
0,168,500,1,923.0,380,0.05,143259,10000,last_standing,122.8
0,169,500,2,155.0,200,0.05,143461,10000,last_standing,124.8
0,170,500,4,97.7,127,0.05,143590,10000,max_ticks,125.0
0,171,500,3,108.8,88,0.05,143680,10000,last_standing,125.2
0,172,500,3,401.9,169,0.05,143851,10000,last_standing,125.4
0,173,500,3,398.8,338,0.05,144191,10000,max_ticks,125.7
0,174,500,3,342.9,329,0.05,144522,10000,max_ticks,127.8
0,175,500,2,297.5,275,0.05,144799,10000,last_standing,128.2
0,176,500,3,92.6,176,0.05,144977,10000,last_standing,128.4
0,177,500,2,388.4,284,0.05,145262,10000,last_standing,128.7
0,178,500,2,499.3,393,0.05,145657,10000,last_standing,129.0
0,179,500,3,298.3,283,0.05,145942,10000,max_ticks,131.1
0,180,500,2,363.6,336,0.05,146280,10000,last_standing,131.5
0,181,500,1,536.5,315,0.05,146596,10000,last_standing,131.8
0,182,500,2,388.3,183,0.05,146781,10000,last_standing,132.0
0,183,500,4,151.5,215,0.05,146998,10000,last_standing,132.3
0,184,500,2,427.2,372,0.05,147372,10000,last_standing,133.4
0,185,500,2,192.4,224,0.05,147598,10000,last_standing,133.7
0,186,500,1,1014.0,290,0.05,147889,10000,last_standing,134.0
0,187,500,2,665.0,400,0.05,148290,10000,max_ticks,134.4
0,188,500,2,660.0,400,0.05,148691,10000,max_ticks,134.8
0,189,500,1,378.4,184,0.05,148876,10000,last_standing,135.9
0,190,500,2,365.9,309,0.05,149187,10000,last_standing,136.2
0,191,500,2,412.3,323,0.05,149512,10000,last_standing,136.5
0,192,500,2,830.0,400,0.05,149913,10000,max_ticks,136.9
0,193,500,3,292.5,225,0.05,150140,10000,last_standing,137.2
0,194,500,2,398.9,339,0.05,150481,10000,last_standing,139.3
0,195,500,3,327.3,273,0.05,150756,10000,last_standing,139.7
0,196,500,1,970.0,400,0.05,151157,10000,max_ticks,140.1
0,197,500,1,675.0,400,0.05,151558,10000,max_ticks,140.5
0,198,500,3,850.0,400,0.05,151959,10000,max_ticks,140.9
0,199,500,2,597.0,320,0.05,152281,10000,last_standing,142.9
0,200,500,3,744.4,344,0.05,152627,10000,max_ticks,143.3
0,201,500,3,255.7,257,0.05,152886,10000,max_ticks,143.6
0,202,500,3,212.7,27,0.05,152915,10000,last_standing,143.7
0,203,500,2,275.8,258,0.05,153175,10000,last_standing,144.0
0,204,500,3,592.1,171,0.05,153348,10000,max_ticks,146.0
0,205,500,2,625.0,400,0.05,153749,10000,max_ticks,146.4
0,206,500,3,318.5,285,0.05,154036,10000,max_ticks,146.8
0,207,500,4,119.6,46,0.05,154084,10000,last_standing,146.9
0,208,500,2,690.0,400,0.05,154485,10000,max_ticks,147.3
0,209,500,2,143.2,182,0.05,154669,10000,last_standing,149.4
0,210,500,4,266.0,110,0.05,154781,10000,max_ticks,149.6
0,211,500,2,475.3,353,0.05,155136,10000,last_standing,149.9
0,212,500,3,139.5,145,0.05,155283,10000,max_ticks,150.2
0,213,500,1,382.9,229,0.05,155513,10000,last_standing,150.4
0,214,500,4,125.8,183,0.05,155698,10000,last_standing,152.4
0,215,500,1,599.6,346,0.05,156045,10000,last_standing,152.8
0,216,500,1,415.8,258,0.05,156304,10000,last_standing,153.1
0,217,500,3,625.0,400,0.05,156705,10000,max_ticks,153.6
0,218,500,3,201.5,215,0.05,156922,10000,last_standing,153.9
0,219,500,3,186.1,211,0.05,157135,10000,last_standing,155.9
0,220,500,3,308.6,286,0.05,157423,10000,max_ticks,156.2
0,221,500,2,440.2,352,0.05,157777,10000,last_standing,156.6
0,222,500,2,363.9,289,0.05,158068,10000,last_standing,156.8
0,223,500,1,830.0,400,0.05,158469,10000,max_ticks,157.3
0,224,500,1,755.0,400,0.05,158870,10000,max_ticks,159.5
0,225,500,2,323.1,281,0.05,159153,10000,last_standing,159.8
0,226,500,3,254.8,248,0.05,159403,10000,max_ticks,160.0
0,227,500,1,830.0,400,0.05,159804,10000,max_ticks,160.5
0,228,500,2,511.4,364,0.05,160170,10000,last_standing,160.8
0,229,500,2,357.8,278,0.05,160450,10000,last_standing,162.9
0,230,500,1,668.0,380,0.05,160831,10000,last_standing,163.3
0,231,500,2,675.0,400,0.05,161232,10000,max_ticks,163.7
0,232,500,3,517.8,378,0.05,161612,10000,last_standing,164.1
0,233,500,2,247.9,229,0.05,161843,10000,last_standing,164.4
0,234,500,4,231.7,217,0.05,162062,10000,max_ticks,166.5
0,235,500,2,802.5,400,0.05,162463,10000,max_ticks,166.9
0,236,500,2,880.0,400,0.05,162864,10000,max_ticks,167.3
0,237,500,1,950.0,400,0.05,163265,10000,max_ticks,167.8
0,238,500,2,237.2,222,0.05,163489,10000,last_standing,168.1
0,239,500,2,770.0,400,0.05,163890,10000,max_ticks,170.7
0,240,500,1,1320.0,400,0.05,164291,10000,max_ticks,171.2
0,241,500,4,235.6,256,0.05,164549,10000,last_standing,171.5
0,242,500,1,745.0,400,0.05,164950,10000,max_ticks,172.0
0,243,500,3,145.9,184,0.05,165136,10000,last_standing,172.2
0,244,500,1,667.7,377,0.05,165514,10000,last_standing,174.4
0,245,500,2,543.5,385,0.05,165901,10000,last_standing,174.8
0,246,500,2,715.0,400,0.05,166302,10000,max_ticks,175.3
0,247,500,3,311.0,310,0.05,166614,10000,last_standing,175.7
0,248,500,2,680.0,400,0.05,167015,10000,max_ticks,176.1
0,249,500,4,163.2,182,0.05,167199,10000,max_ticks,178.2
0,250,500,3,251.4,214,0.05,167415,10000,max_ticks,178.5
0,251,500,3,148.4,184,0.05,167601,10000,last_standing,178.7
0,252,500,3,517.0,370,0.05,167973,10000,max_ticks,179.2
0,253,500,2,609.2,342,0.05,168317,10000,last_standing,179.6
0,254,500,2,460.8,358,0.05,168677,10000,last_standing,181.7
0,255,500,2,389.3,293,0.05,168972,10000,last_standing,182.1
0,256,500,2,432.0,320,0.05,169294,10000,last_standing,182.5
0,257,500,1,905.0,400,0.05,169695,10000,max_ticks,182.9
0,258,500,2,610.0,400,0.05,170096,10000,max_ticks,183.3
0,259,500,1,594.3,393,0.05,170490,10000,last_standing,185.5
0,260,500,2,478.3,333,0.05,170825,10000,last_standing,185.9
0,261,500,2,544.0,390,0.05,171217,10000,last_standing,186.3
0,262,500,2,284.1,241,0.05,171460,10000,last_standing,186.6
0,263,500,4,397.9,329,0.05,171791,10000,max_ticks,187.0
0,264,500,2,457.6,326,0.05,172119,10000,last_standing,189.2
0,265,500,2,248.6,236,0.05,172357,10000,last_standing,189.5
0,266,500,2,605.0,400,0.05,172758,10000,max_ticks,190.0
0,267,500,2,264.4,244,0.05,173004,10000,last_standing,190.3
0,268,500,1,685.4,304,0.05,173309,10000,last_standing,190.7
0,269,500,3,179.7,197,0.05,173508,10000,last_standing,192.7
0,270,500,3,307.7,277,0.05,173787,10000,last_standing,193.0
0,271,500,2,257.0,220,0.05,174009,10000,last_standing,193.2
0,272,500,1,815.0,400,0.05,174410,10000,max_ticks,193.6
0,273,500,3,183.9,189,0.05,174601,10000,last_standing,193.8
0,274,500,1,655.1,251,0.05,174853,10000,last_standing,195.8
0,275,500,2,955.0,400,0.05,175254,10000,max_ticks,196.2
0,276,500,2,635.0,400,0.05,175655,10000,max_ticks,196.6
0,277,500,1,745.0,400,0.05,176056,10000,max_ticks,197.0
0,278,500,2,264.9,274,0.05,176332,10000,last_standing,197.3
0,279,500,2,195.0,200,0.05,176534,10000,last_standing,199.3
0,280,500,2,605.0,400,0.05,176935,10000,max_ticks,199.8
0,281,500,3,112.4,174,0.05,177111,10000,last_standing,200.0
0,282,500,2,670.0,400,0.05,177512,10000,max_ticks,200.4
0,283,500,2,319.3,293,0.05,177807,10000,last_standing,200.7
0,284,500,3,171.8,218,0.05,178027,10000,last_standing,202.7
0,285,500,4,241.6,266,0.05,178295,10000,max_ticks,203.0
0,286,500,3,595.0,400,0.05,178696,10000,max_ticks,203.5
0,287,500,2,464.3,343,0.05,179041,10000,last_standing,203.9
0,288,500,2,483.9,389,0.05,179432,10000,last_standing,204.3
0,289,500,2,421.6,366,0.05,179800,10000,last_standing,206.4
0,290,500,2,481.4,364,0.05,180166,10000,last_standing,206.8
0,291,500,3,181.7,117,0.05,180285,10000,last_standing,207.0
0,292,500,2,755.0,400,0.05,180686,10000,max_ticks,207.4
0,293,500,3,340.9,309,0.05,180997,10000,max_ticks,207.7
0,294,500,1,291.2,212,0.05,181210,10000,last_standing,209.7
0,295,500,2,775.0,400,0.05,181611,10000,max_ticks,210.1
0,296,500,4,80.3,53,0.05,181666,10000,max_ticks,210.3
0,297,500,2,760.0,400,0.05,182067,10000,max_ticks,210.7
0,298,500,2,383.9,339,0.05,182408,10000,last_standing,211.1
0,299,500,3,445.1,351,0.05,182761,10000,max_ticks,212.3
0,300,500,2,780.0,400,0.05,183162,10000,max_ticks,212.7
0,301,500,3,620.0,400,0.05,183563,10000,max_ticks,213.2
0,302,500,2,615.0,400,0.05,183964,10000,max_ticks,213.5
0,303,500,3,266.8,268,0.05,184234,10000,last_standing,213.8
0,304,500,5,38.3,133,0.05,184369,10000,last_standing,215.8
0,305,500,3,430.4,379,0.05,184750,10000,max_ticks,216.2
0,306,500,4,118.4,184,0.05,184936,10000,last_standing,216.4
0,307,500,2,343.6,286,0.05,185224,10000,last_standing,216.8
0,308,500,2,491.3,363,0.05,185589,10000,last_standing,217.2
0,309,500,3,267.6,276,0.05,185867,10000,last_standing,219.2
0,310,500,2,447.9,379,0.05,186248,10000,last_standing,219.6
0,311,500,2,930.0,400,0.05,186649,10000,max_ticks,220.0
0,312,500,3,277.8,278,0.05,186929,10000,max_ticks,220.3
0,313,500,3,330.1,301,0.05,187232,10000,max_ticks,220.6
0,314,500,3,308.6,286,0.05,187520,10000,max_ticks,222.7
0,315,500,2,220.8,158,0.05,187679,10000,last_standing,222.8
0,316,500,2,537.6,376,0.05,188056,10000,last_standing,223.3
0,317,500,2,595.0,400,0.05,188457,10000,max_ticks,223.8
0,318,500,3,140.0,200,0.05,188659,10000,max_ticks,224.0
0,319,500,2,502.1,371,0.05,189031,10000,last_standing,226.2
0,320,500,2,730.0,400,0.05,189432,10000,max_ticks,226.6
0,321,500,4,283.6,286,0.05,189720,10000,last_standing,226.9
0,322,500,3,300.0,300,0.05,190022,10000,last_standing,227.3
0,323,500,3,905.5,355,0.05,190378,10000,last_standing,227.8
0,324,500,3,287.5,175,0.05,190555,10000,max_ticks,229.8
0,325,500,3,416.0,360,0.05,190917,10000,max_ticks,230.2
0,326,500,3,139.2,192,0.05,191111,10000,last_standing,230.5
0,327,500,3,253.9,139,0.05,191252,10000,max_ticks,230.7
0,328,500,2,585.0,400,0.05,191653,10000,max_ticks,231.2
0,329,500,3,411.0,360,0.05,192015,10000,max_ticks,233.3
0,330,500,2,970.0,400,0.05,192416,10000,max_ticks,233.7
0,331,500,3,408.3,333,0.05,192751,10000,last_standing,234.1
0,332,500,3,860.0,400,0.05,193152,10000,max_ticks,234.5
0,333,500,1,873.7,387,0.05,193540,10000,last_standing,234.9
0,334,500,2,570.0,400,0.05,193941,10000,max_ticks,237.0
0,335,500,3,465.3,353,0.05,194296,10000,max_ticks,237.4
0,336,500,3,251.3,263,0.05,194561,10000,last_standing,237.8
0,337,500,2,640.0,400,0.05,194962,10000,max_ticks,238.2
0,338,500,2,328.3,283,0.05,195247,10000,last_standing,238.5
0,339,500,1,722.1,221,0.05,195469,10000,last_standing,240.6
0,340,500,3,181.7,217,0.05,195688,10000,last_standing,240.9
0,341,500,2,350.1,301,0.05,195991,10000,last_standing,241.3
0,342,500,3,193.0,80,0.05,196073,10000,last_standing,241.5
0,343,500,4,323.3,283,0.05,196358,10000,last_standing,241.8
0,344,500,2,618.1,231,0.05,196591,10000,last_standing,243.9
0,345,500,2,625.0,400,0.05,196992,10000,max_ticks,244.3
0,346,500,2,382.4,324,0.05,197318,10000,last_standing,244.7
0,347,500,1,352.9,179,0.05,197498,10000,last_standing,244.9
0,348,500,2,307.4,274,0.05,197774,10000,last_standing,245.3
0,349,500,2,590.0,400,0.05,198175,10000,max_ticks,247.4
0,350,500,1,457.2,272,0.05,198448,10000,last_standing,247.7
0,351,500,1,1025.6,356,0.05,198805,10000,last_standing,248.1
0,352,500,3,179.6,196,0.05,199003,10000,max_ticks,248.4
0,353,500,3,368.9,339,0.05,199344,10000,max_ticks,248.8
0,354,500,3,109.0,190,0.05,199536,10000,last_standing,250.8
0,355,500,3,234.0,240,0.05,199778,10000,last_standing,251.1
0,356,500,2,296.3,263,0.05,200043,10000,last_standing,251.3
0,357,500,3,890.0,400,0.05,200444,10000,max_ticks,251.8
0,358,500,2,133.0,180,0.05,200626,10000,last_standing,252.0
0,359,500,1,862.5,375,0.05,201002,10000,last_standing,253.3
0,360,500,4,198.3,83,0.05,201087,10000,max_ticks,253.5
0,361,500,2,440.0,350,0.05,201439,10000,last_standing,254.0
0,362,500,1,607.9,279,0.05,201719,10000,last_standing,254.4
0,363,500,1,679.1,291,0.05,202011,10000,last_standing,254.7
0,364,500,3,392.4,324,0.05,202337,10000,max_ticks,256.7
0,365,500,2,455.3,353,0.05,202692,10000,last_standing,257.1
0,366,500,3,248.4,234,0.05,202928,10000,last_standing,257.4
0,367,500,3,920.0,400,0.05,203329,10000,max_ticks,257.8
0,368,500,3,364.3,343,0.05,203674,10000,max_ticks,258.2
0,369,500,3,260.2,252,0.05,203928,10000,last_standing,260.3
0,370,500,3,102.7,77,0.05,204007,10000,max_ticks,260.5
0,371,500,2,705.0,400,0.05,204408,10000,max_ticks,260.9
0,372,500,3,605.0,400,0.05,204809,10000,max_ticks,261.3
0,373,500,3,720.0,400,0.05,205210,10000,max_ticks,261.7
0,374,500,2,850.0,400,0.05,205611,10000,max_ticks,263.9
0,375,500,2,250.3,253,0.05,205866,10000,last_standing,264.1
0,376,500,3,222.9,279,0.05,206147,10000,last_standing,264.5
0,377,500,1,848.3,383,0.05,206531,10000,last_standing,264.8
0,378,500,3,403.0,380,0.05,206913,10000,max_ticks,265.3
0,379,500,3,625.0,400,0.05,207314,10000,max_ticks,267.5
0,380,500,2,257.0,270,0.05,207586,10000,last_standing,267.8
0,381,500,3,197.8,178,0.05,207766,10000,max_ticks,268.0
0,382,500,3,381.1,311,0.05,208079,10000,last_standing,268.4
0,383,500,1,1035.6,356,0.05,208436,10000,last_standing,268.8
0,384,500,3,253.8,238,0.05,208676,10000,last_standing,270.1
0,385,500,3,218.2,232,0.05,208910,10000,last_standing,270.4
0,386,500,3,371.4,314,0.05,209226,10000,max_ticks,270.7
0,387,500,1,1579.9,399,0.05,209626,10000,last_standing,271.1
0,388,500,1,960.0,400,0.05,210027,10000,max_ticks,271.5
0,389,500,3,182.4,224,0.05,210253,10000,max_ticks,272.7
0,390,500,2,204.8,223,0.05,210478,10000,last_standing,273.0
0,391,500,3,635.0,400,0.05,210879,10000,max_ticks,273.4
0,392,500,2,850.0,400,0.05,211280,10000,max_ticks,273.8
0,393,500,3,466.1,361,0.05,211643,10000,last_standing,274.3
0,394,500,2,289.4,244,0.05,211889,10000,last_standing,276.3
0,395,500,3,585.0,400,0.05,212290,10000,max_ticks,276.7
0,396,500,4,71.8,168,0.05,212460,10000,last_standing,276.9
0,397,500,1,619.0,390,0.05,212851,10000,last_standing,277.3
0,398,500,4,185.9,209,0.05,213062,10000,last_standing,277.6
0,399,500,3,638.1,231,0.05,213295,10000,max_ticks,279.6
0,400,500,1,431.5,115,0.05,213411,10000,last_standing,279.7
0,401,500,2,236.3,263,0.05,213676,10000,last_standing,280.0
0,402,500,2,694.1,391,0.05,214069,10000,last_standing,280.5
0,403,500,3,650.0,400,0.05,214470,10000,max_ticks,280.8
0,404,500,2,380.6,306,0.05,214778,10000,last_standing,282.9
0,405,500,2,528.4,334,0.05,215114,10000,last_standing,283.3
0,406,500,2,269.7,247,0.05,215363,10000,last_standing,283.6
0,407,500,3,423.4,334,0.05,215699,10000,max_ticks,284.0
0,408,500,2,322.2,272,0.05,215973,10000,last_standing,284.3
0,409,500,3,201.3,213,0.05,216188,10000,last_standing,286.3
0,410,500,4,100.8,158,0.05,216348,10000,max_ticks,286.5
0,411,500,3,715.0,400,0.05,216749,10000,max_ticks,286.9
0,412,500,5,80.1,151,0.05,216902,10000,max_ticks,287.1
0,413,500,1,730.0,400,0.05,217303,10000,max_ticks,287.5
0,414,500,3,95.9,159,0.05,217464,10000,last_standing,289.5
0,415,500,2,285.5,255,0.05,217721,10000,last_standing,289.8
0,416,500,4,281.1,261,0.05,217984,10000,max_ticks,290.1
