worker,ep,total_ep,scenario,rank,score,win_rate_pct,eps,step,elapsed_s
0,23,100,pfsp,2,230.5,17,0.066,91040,34.0
0,24,100,boss_mode_trio,4,87.4,17,0.065,91266,35.0
0,25,100,boss_mode_trio,3,590.0,16,0.065,91667,37.0
0,26,100,pfsp,2,345.6,15,0.064,91975,38.0
0,27,100,pfsp,1,433.3,19,0.064,92259,41.0
0,28,100,pfsp,3,279.5,18,0.063,92556,49.0
0,29,100,boss_mode_solo,2,690.0,17,0.063,92957,55.0
0,30,100,pure_rule,3,540.0,17,0.062,93358,60.0
0,31,100,pfsp,5,69.2,16,0.062,93552,62.0
0,32,100,pfsp,2,462.5,16,0.061,93929,63.0
0,33,100,pfsp,4,205.7,15,0.061,94188,65.0
0,34,100,pfsp,1,359.7,18,0.06,94386,66.0
0,35,100,pfsp,2,228.5,17,0.06,94623,70.0
0,36,100,pfsp,3,258.2,17,0.059,94907,71.0
0,37,100,boss_mode_solo,2,129.8,16,0.059,95107,72.0
0,38,100,pfsp,2,313.0,16,0.058,95389,73.0
0,39,100,pfsp,3,142.8,15,0.058,95619,74.0
0,40,100,pure_rule,2,310.0,15,0.057,95921,82.0
0,41,100,boss_mode_trio,3,489.3,15,0.057,96316,85.0
0,42,100,pfsp,3,207.7,14,0.056,96595,86.0
0,43,100,boss_mode_solo,2,545.0,14,0.056,96996,88.0
0,44,100,boss_mode_trio,3,402.7,14,0.055,97325,92.0
0,45,100,boss_mode_trio,4,162.9,13,0.055,97556,99.0
0,46,100,pfsp,3,353.0,13,0.055,97888,111.0
0,47,100,pfsp,2,690.0,13,0.054,98289,114.0
0,48,100,pfsp,3,196.8,12,0.054,98559,115.0
0,49,100,pfsp,3,152.2,12,0.053,98783,117.0
0,50,100,pure_rule,2,398.3,12,0.053,99168,121.0
0,51,100,pfsp,2,237.9,12,0.052,99449,122.0
0,52,100,boss_mode_trio,4,221.9,12,0.052,99720,124.0
0,53,100,boss_mode_trio,3,401.8,11,0.052,100040,125.0
0,54,100,boss_mode_solo,1,600.0,13,0.051,100441,127.0
0,55,100,boss_mode_trio,4,247.5,13,0.051,100718,128.0
0,56,100,pfsp,2,605.0,12,0.05,101119,129.0
0,57,100,boss_mode_solo,2,555.0,12,0.05,101520,131.0
0,58,100,pfsp,3,146.6,12,0.05,101738,132.0
1,1,100,pfsp,2,720.0,0,0.078,86380,1.0
1,2,100,boss_mode_trio,3,270.5,0,0.078,86380,2.0
1,3,100,boss_mode_trio,2,645.0,0,0.077,86488,4.0
