worker,ep,total_ep,rank,score,win_rate_pct,eps,step,elapsed_s,scenario
1,7,100,2,225.7,0,0.167,61743,19.0,
1,8,100,4,217.7,0,0.165,61922,21.0,
1,9,100,3,151.3,0,0.164,62137,23.0,
1,10,100,2,273.2,0,0.163,62421,24.0,
1,11,100,5,83.7,0,0.161,62610,25.0,
1,12,100,4,126.6,0,0.16,62828,26.0,
1,13,100,2,217.8,0,0.159,63058,27.0,
1,14,100,3,239.4,0,0.158,63304,35.0,
1,15,100,2,551.8,0,0.156,63674,45.0,
1,16,100,3,138.6,0,0.155,63862,50.0,
1,17,100,2,180.7,0,0.154,64071,53.0,
1,18,100,3,156.9,0,0.153,64292,54.0,
1,19,100,2,276.8,0,0.151,64562,56.0,
1,20,100,1,416.5,5,0.15,64678,57.0,
1,21,100,1,234.2,10,0.149,64871,62.0,
1,22,100,2,224.3,9,0.148,65116,67.0,
1,23,100,1,230.7,13,0.147,65324,68.0,
1,24,100,3,110.4,12,0.145,65530,69.0,
1,25,100,4,84.0,12,0.144,65722,71.0,
1,26,100,1,926.2,15,0.143,66086,73.0,
1,27,100,3,429.1,15,0.142,66479,74.0,
1,28,100,1,337.5,18,0.141,66755,75.0,
1,29,100,2,282.9,17,0.14,67036,77.0,
1,30,100,2,483.3,17,0.139,67371,79.0,
1,31,100,3,252.3,16,0.138,67646,80.0,
1,32,100,4,306.6,16,0.136,67964,81.0,
1,33,100,2,259.1,15,0.135,68207,82.0,
1,34,100,4,188.4,15,0.134,68493,84.0,
1,35,100,3,274.3,14,0.133,68788,92.0,
1,36,100,3,293.7,14,0.132,69077,93.0,
1,37,100,3,258.5,14,0.131,69364,94.0,
1,38,100,1,365.5,16,0.13,69670,95.0,
1,39,100,2,575.0,15,0.129,70071,97.0,
1,40,100,3,113.0,15,0.128,70253,98.0,
1,41,100,3,195.9,15,0.127,70564,100.0,
1,42,100,3,177.6,14,0.126,70792,104.0,
1,43,100,4,85.5,14,0.125,70999,109.0,
1,44,100,3,131.8,14,0.124,71219,117.0,
1,45,100,5,87.9,13,0.123,71400,122.0,
1,46,100,3,209.6,13,0.122,71648,123.0,
1,47,100,2,262.2,13,0.121,71922,125.0,
1,48,100,2,330.8,12,0.12,72232,126.0,
1,49,100,5,36.7,12,0.119,72301,126.0,
1,50,100,2,606.3,12,0.118,72666,128.0,
1,51,100,4,83.5,12,0.117,72853,129.0,
1,52,100,2,495.0,12,0.116,73254,142.0,
1,53,100,3,192.5,11,0.115,73481,143.0,
1,54,100,1,287.7,13,0.114,73709,144.0,
1,55,100,2,277.6,13,0.113,73987,145.0,
1,56,100,1,740.0,14,0.113,74388,147.0,
1,57,100,2,553.9,14,0.112,74779,158.0,
2,58,100,3,146.1,19,0.11,73609,148.0,
2,59,100,2,183.0,19,0.109,73841,149.0,
2,60,100,3,214.1,18,0.108,74084,150.0,
2,61,100,3,207.7,18,0.107,74363,157.0,
2,62,100,3,660.0,18,0.106,74764,163.0,
2,63,100,2,396.3,17,0.106,75129,165.0,
2,64,100,3,218.0,17,0.105,75411,166.0,
2,65,100,1,320.0,18,0.104,75637,167.0,
2,66,100,5,87.9,18,0.103,75818,168.0,
2,67,100,1,479.1,19,0.102,76060,169.0,
2,68,100,4,248.7,19,0.101,76099,171.0,
2,69,100,1,433.3,20,0.101,76283,172.0,
2,70,100,2,148.8,20,0.1,76473,173.0,
2,71,100,1,242.6,21,0.099,76600,174.0,
2,72,100,4,276.1,21,0.098,76913,175.0,
2,73,100,1,496.5,22,0.097,77229,177.0,
2,74,100,3,139.9,22,0.097,77430,182.0,
2,75,100,4,100.8,21,0.096,77640,186.0,
2,76,100,3,267.4,21,0.095,77916,187.0,
2,77,100,3,264.5,21,0.094,78213,189.0,
2,78,100,2,311.4,21,0.094,78529,192.0,
2,79,100,3,194.7,20,0.093,78778,193.0,
2,80,100,4,22.6,20,0.092,78806,193.0,
2,81,100,5,105.1,20,0.091,79009,194.0,
2,82,100,2,525.0,20,0.091,79410,196.0,
2,83,100,2,367.4,19,0.09,79736,197.0,
2,84,100,2,268.2,19,0.089,80020,198.0,
2,85,100,2,206.4,19,0.088,80286,204.0,
2,86,100,1,650.0,20,0.088,80687,211.0,
2,87,100,2,575.0,20,0.087,81088,212.0,
2,88,100,5,63.6,19,0.086,81176,213.0,
2,89,100,4,69.0,19,0.086,81218,213.0,
2,90,100,2,570.0,19,0.085,81619,215.0,
2,91,100,2,199.7,19,0.084,81868,216.0,
2,92,100,2,247.0,18,0.084,82140,220.0,
2,93,100,1,629.2,19,0.083,82433,223.0,
2,94,100,3,222.4,19,0.082,82709,224.0,
2,95,100,5,107.4,19,0.082,82735,224.0,
2,96,100,2,211.4,19,0.081,83001,226.0,
2,97,100,2,229.5,19,0.08,83248,229.0,
2,98,100,5,27.8,18,0.08,83278,229.0,
2,99,100,1,820.0,19,0.079,83679,231.0,
2,100,100,2,272.8,19,0.078,83959,232.0,
0,59,100,4,107.7,2,0.11,73601,129.0,
0,60,100,3,185.8,2,0.109,73710,130.0,
0,61,100,2,150.8,2,0.108,73920,131.0,
0,62,100,4,163.1,2,0.107,74153,131.0,
0,63,100,4,97.6,2,0.106,74331,132.0,
0,64,100,3,389.8,2,0.106,74681,134.0,
0,65,100,1,412.3,3,0.105,74955,135.0,
0,66,100,4,147.8,3,0.104,75185,136.0,
0,67,100,2,128.4,3,0.103,75371,137.0,
0,68,100,2,228.4,3,0.102,75557,138.0,
0,69,100,2,640.0,3,0.101,75958,140.0,
0,70,100,1,566.5,4,0.101,76274,141.0,
0,71,100,3,124.6,4,0.1,76472,142.0,
0,72,100,3,92.8,4,0.099,76652,147.0,
0,73,100,3,178.6,4,0.098,76890,151.0,
0,74,100,3,195.7,4,0.097,77149,153.0,
0,75,100,4,154.6,4,0.097,77397,154.0,
0,76,100,2,119.1,4,0.096,77590,154.0,
0,77,100,1,940.0,5,0.095,77991,156.0,
0,78,100,2,540.0,5,0.094,78392,158.0,
0,79,100,3,173.4,5,0.094,78628,159.0,
